"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2004","2004",,,"0","Units",,,34.6788210629057,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2005","2005",,,"0","Units",,,34.1769560157538,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2006","2006",,,"0","Units",,,36.0368509731839,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2007","2007",,,"0","Units",,,33.9896227927985,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2008","2008",,,"0","Units",,,37.6462220499289,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2009","2009",,,"0","Units",,,44.5621254998183,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2010","2010",,,"0","Units",,,45.423704171078,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2011","2011",,,"0","Units",,,40.4835086223002,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2012","2012",,,"0","Units",,,37.9783741949563,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2013","2013",,,"0","Units",,,37.7372865125749,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2014","2014",,,"0","Units",,,38.0651958410144,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2015","2015",,,"0","Units",,,38.2239151090257,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2016","2016",,,"0","Units",,,36.9796198793634,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2017","2017",,,"0","Units",,,37.8057885871283,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2018","2018",,,"0","Units",,,38.4835364607862,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2000","2000",,,"0","Units",,,0.843760391901886,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2001","2001",,,"0","Units",,,0.934838010561766,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2002","2002",,,"0","Units",,,1.09336016815429,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2003","2003",,,"0","Units",,,1.08189862688378,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2004","2004",,,"0","Units",,,1.23724604778177,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2005","2005",,,"0","Units",,,1.15354360358049,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2006","2006",,,"0","Units",,,1.43347022881436,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2007","2007",,,"0","Units",,,1.40886073321576,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2008","2008",,,"0","Units",,,1.46949425768344,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2009","2009",,,"0","Units",,,1.18773481744679,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2010","2010",,,"0","Units",,,1.05765000893918,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2011","2011",,,"0","Units",,,0.989126552787574,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2012","2012",,,"0","Units",,,0.898672566311028,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2013","2013",,,"0","Units",,,0.904347768081821,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2014","2014",,,"0","Units",,,0.895243207526343,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2015","2015",,,"0","Units",,,1.02564423072653,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2016","2016",,,"0","Units",,,1.63988816377298,,
"LVA","Latvia","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2017","2017",,,"0","Units",,,1.65001692742397,,
"LVA","Latvia","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2000","2000",,,"0","Units",,,4.41572804405539,,
"LVA","Latvia","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2001","2001",,,"0","Units",,,4.15006951634532,,
"LVA","Latvia","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2002","2002",,,"0","Units",,,4.42155280723587,,
"LVA","Latvia","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2003","2003",,,"0","Units",,,4.62604569140022,,
"LVA","Latvia","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2004","2004",,,"0","Units",,,4.59871775331323,,
"LVA","Latvia","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2005","2005",,,"0","Units",,,5.13089722967145,,
